SchoolDistrict,AorE
Aberdeen School District,Appointed
Alcorn School District,Elected
Amite County School District,Elected
Amory School District,Appointed
Attala County School District,Elected
Baldwyn School District,Appointed
Bay St. Louis School District,Appointed
Benoit School District,Appointed
Benton County School District,Elected
Biloxi Public School District,Appointed
Booneville School District,Appointed
Brookhaven School District,Appointed
Calhoun County School District,Elected
Canton Public School District,Appointed
Carroll County School District,Elected
Chickasaw County School District,Elected
Choctaw County School District,Elected
Claiborne County School District,Elected
Clarksdale Municipal School District,Appointed
Clay County School District,Elected
Cleveland School District,Appointed
Clinton Public School District,Appointed
Coahoma County School District,Elected
Coffeeville School District,Appointed
Columbia School District,Appointed
Columbus Municipal School District,Appointed
Copiah County School District,Elected
Corinth School District,Appointed
Covington County School District,Elected
DeSoto County School District,Elected
Drew School District,Appointed
Durant Public School District,Appointed
East Jasper School District,Appointed
East Tallahatchie School District,Appointed
Enterprise School District,Appointed
Forest Municipal School District,Appointed
Forrest County Schools,Elected
Franklin County School District,Elected
George County School District,Elected
Greene County School District,Elected
Greenville Public School District,Appointed
Greenwood Public School District,Appointed
Grenada School District,Appointed
Gulfport School District,Appointed
Hancock County School District,Elected
Harrison County School District,Elected
Hattiesburg Public School District,Appointed
Hazlehurst City School District,Appointed
Hinds County School District,Appointed
Hollandale School District,Appointed
Holly Springs School District,Appointed
Holmes County School District,Elected
Houston School District,Appointed
Humphreys County School District,Elected
Indianola School District,Appointed
Itawamba County School District,Elected
Jackson County School District,Elected
Jackson Public School District,Appointed
Jefferson Davis County School District,Elected
Jefferson County School District,Elected
Jones County School District,Elected
Kemper County School District,Elected
Kosciusko School District,Elected
Lafayette County School District,Appointed
Lamar County School District,Elected
Lauderdale County School District,Elected
Laurel School District,Appointed
Lawrence County School District,Elected
Leake County School District,Elected
Lee County School District,Elected
Leflore County School District,Elected
Leland School District,Appointed
Lincoln County School District,Elected
Long Beach School District,Appointed
Louisville Municipal School District,Appointed
Lowndes County School District,Elected
Lumberton Public School District,Appointed
Madison County School District,Elected
Marion County School District,Elected
Marshall County School District,Elected
McComb School District,Appointed
Meridian Public School District,Appointed
Monroe County School District,Elected
Montgomery County School District,Elected
Moss Point School District,Appointed
Mound Bayou Public School,Appointed
Natchez-Adams School District,Appointed
Neshoba County School District,Elected
Nettleton School District,Appointed
New Albany Public Schools,Appointed
Newton Municipal School,Appointed
Newton County School District,Elected
North Bolivar School District,Appointed
North Panola School District,Appointed
North Pike School District,Appointed
North Tippah School District,Appointed
Noxubee County School District,Elected
Ocean Springs School District,Appointed
Okolona Separate School District,Appointed
Oktibbeha County School District,Elected
Oxford School District,Appointed
Pascagoula Separate School District,Elected
Pass Christian Public School District,Elected
Pearl Public School District,Appointed
Pearl River County School District,Elected
Perry County Schools,Elected
Petal School District,Appointed
Philadelphia Public School District,Appointed
Picayune School District,Appointed
Pontotoc City Schools,Elected
Pontotoc County Schools,Appointed
Poplarville Separate School District,Appointed
Prentiss County School District,Elected
Quitman School District,Appointed
Quitman County School District,Elected
Rankin County School District,Elected
Richton School District,Appointed
Scott County School District,Elected
Senatobia Municipal School District,Appointed
Shaw School District,Appointed
Simpson County School District,Elected
Smith County School District,Elected
South Delta School District,Appointed
South Panola School District,Appointed
South Pike School District,Appointed
South Tippah School District,Appointed
Starkville School District,Appointed
Stone County School District,Elected
Sunflower County School District,Elected
Tate County School District,Elected
Tishomingo County Schools,Appointed
Tunica County School District,Elected
Tupelo Public School District,Appointed
Union Public School District,Appointed
Union County School District,Elected
Vicksburg Warren School District,Appointed
Walthall County School District,Elected
Water Valley School District,Appointed
Wayne County School District,Elected
Webster County School District,Elected
West Bolivar School District,Appointed
West Jasper School District,Appointed
West Point School District,Appointed
West Tallahatchie School,Appointed
Western Line School District,Appointed
Wilkinson County School District,Elected
Winona Separate School District,Appointed
Yazoo City Municipal School District,Appointed
Yazoo County School District,Elected
