District Code ,School Code,School Name,Grade,Number Enrolled
0000,000,State Level Data,Pre-Kindergarten,4334
0000,000,State Level Data,Special Education Pre-K,1205
0000,000,State Level Data,Kindergarten,41963
0000,000,State Level Data,Special Education Kindergarten,429
0000,000,State Level Data,Elementary Special Education,3576
0000,000,State Level Data,Grade 1,42988
0000,000,State Level Data,Grade 2,39118
0000,000,State Level Data,Grade 3,37326
0000,000,State Level Data,Grade 4,37007
0000,000,State Level Data,Grade 5,36142
0000,000,State Level Data,Grade 6,37062
0000,000,State Level Data,Grade 7,37590
0000,000,State Level Data,Grade 8,37924
0000,000,State Level Data,Grade 9,38161
0000,000,State Level Data,Grade 10,34803
0000,000,State Level Data,Grade 11,30914
0000,000,State Level Data,Grade 12,28929
0000,000,State Level Data,Secondary Special Education,2362
0000,000,State Level Data,Secondary GED,753
0000,000,State Level Data,Total Enrollment,492586
0130,000,District Level Data,Pre-Kindergarten,18
0130,000,District Level Data,Special Education Pre-K,*
0130,000,District Level Data,Kindergarten,289
0130,000,District Level Data,Special Education Kindergarten,*
0130,000,District Level Data,Elementary Special Education,36
0130,000,District Level Data,Grade 1,317
0130,000,District Level Data,Grade 2,292
0130,000,District Level Data,Grade 3,310
0130,000,District Level Data,Grade 4,273
0130,000,District Level Data,Grade 5,267
0130,000,District Level Data,Grade 6,277
0130,000,District Level Data,Grade 7,287
0130,000,District Level Data,Grade 8,253
0130,000,District Level Data,Grade 9,298
0130,000,District Level Data,Grade 10,291
0130,000,District Level Data,Grade 11,184
0130,000,District Level Data,Grade 12,203
0130,000,District Level Data,Secondary Special Education,36
0130,000,District Level Data,Secondary GED,20
0130,000,District Level Data,Total Enrollment,3663
0130,020,MC LAURIN ELEMENTARY SCHOOL,Pre-Kindergarten,18
0130,020,MC LAURIN ELEMENTARY SCHOOL,Special Education Pre-K,*
0130,020,MC LAURIN ELEMENTARY SCHOOL,Kindergarten,113
0130,020,MC LAURIN ELEMENTARY SCHOOL,Special Education Kindergarten,*
0130,020,MC LAURIN ELEMENTARY SCHOOL,Elementary Special Education,21
0130,020,MC LAURIN ELEMENTARY SCHOOL,Grade 1,119
0130,020,MC LAURIN ELEMENTARY SCHOOL,Grade 2,111
0130,020,MC LAURIN ELEMENTARY SCHOOL,Grade 3,115
0130,020,MC LAURIN ELEMENTARY SCHOOL,Grade 4,111
0130,020,MC LAURIN ELEMENTARY SCHOOL,Grade 5,125
0130,020,MC LAURIN ELEMENTARY SCHOOL,Grade 6,N/A
0130,020,MC LAURIN ELEMENTARY SCHOOL,Grade 7,N/A
0130,020,MC LAURIN ELEMENTARY SCHOOL,Grade 8,N/A
0130,020,MC LAURIN ELEMENTARY SCHOOL,Grade 9,N/A
0130,020,MC LAURIN ELEMENTARY SCHOOL,Grade 10,N/A
0130,020,MC LAURIN ELEMENTARY SCHOOL,Grade 11,N/A
0130,020,MC LAURIN ELEMENTARY SCHOOL,Grade 12,N/A
0130,020,MC LAURIN ELEMENTARY SCHOOL,Secondary Special Education,N/A
0130,020,MC LAURIN ELEMENTARY SCHOOL,Secondary GED,N/A
0130,020,MC LAURIN ELEMENTARY SCHOOL,Total Enrollment,733
0130,028,MORGANTOWN MIDDLE SCHOOL,Pre-Kindergarten,N/A
0130,028,MORGANTOWN MIDDLE SCHOOL,Special Education Pre-K,N/A
0130,028,MORGANTOWN MIDDLE SCHOOL,Kindergarten,N/A
0130,028,MORGANTOWN MIDDLE SCHOOL,Special Education Kindergarten,N/A
0130,028,MORGANTOWN MIDDLE SCHOOL,Elementary Special Education,N/A
0130,028,MORGANTOWN MIDDLE SCHOOL,Grade 1,N/A
0130,028,MORGANTOWN MIDDLE SCHOOL,Grade 2,N/A
0130,028,MORGANTOWN MIDDLE SCHOOL,Grade 3,N/A
0130,028,MORGANTOWN MIDDLE SCHOOL,Grade 4,N/A
0130,028,MORGANTOWN MIDDLE SCHOOL,Grade 5,N/A
0130,028,MORGANTOWN MIDDLE SCHOOL,Grade 6,154
0130,028,MORGANTOWN MIDDLE SCHOOL,Grade 7,287
0130,028,MORGANTOWN MIDDLE SCHOOL,Grade 8,253
0130,028,MORGANTOWN MIDDLE SCHOOL,Grade 9,N/A
0130,028,MORGANTOWN MIDDLE SCHOOL,Grade 10,N/A
0130,028,MORGANTOWN MIDDLE SCHOOL,Grade 11,N/A
0130,028,MORGANTOWN MIDDLE SCHOOL,Grade 12,N/A
0130,028,MORGANTOWN MIDDLE SCHOOL,Secondary Special Education,*
0130,028,MORGANTOWN MIDDLE SCHOOL,Secondary GED,N/A
0130,028,MORGANTOWN MIDDLE SCHOOL,Total Enrollment,*
0130,036,ROBERT LEWIS MAGNET SCHOOL,Pre-Kindergarten,N/A
0130,036,ROBERT LEWIS MAGNET SCHOOL,Special Education Pre-K,N/A
0130,036,ROBERT LEWIS MAGNET SCHOOL,Kindergarten,N/A
0130,036,ROBERT LEWIS MAGNET SCHOOL,Special Education Kindergarten,N/A
0130,036,ROBERT LEWIS MAGNET SCHOOL,Elementary Special Education,N/A
0130,036,ROBERT LEWIS MAGNET SCHOOL,Grade 1,N/A
0130,036,ROBERT LEWIS MAGNET SCHOOL,Grade 2,N/A
0130,036,ROBERT LEWIS MAGNET SCHOOL,Grade 3,N/A
0130,036,ROBERT LEWIS MAGNET SCHOOL,Grade 4,N/A
0130,036,ROBERT LEWIS MAGNET SCHOOL,Grade 5,N/A
0130,036,ROBERT LEWIS MAGNET SCHOOL,Grade 6,123
0130,036,ROBERT LEWIS MAGNET SCHOOL,Grade 7,N/A
0130,036,ROBERT LEWIS MAGNET SCHOOL,Grade 8,N/A
0130,036,ROBERT LEWIS MAGNET SCHOOL,Grade 9,N/A
0130,036,ROBERT LEWIS MAGNET SCHOOL,Grade 10,N/A
0130,036,ROBERT LEWIS MAGNET SCHOOL,Grade 11,N/A
0130,036,ROBERT LEWIS MAGNET SCHOOL,Grade 12,N/A
0130,036,ROBERT LEWIS MAGNET SCHOOL,Secondary Special Education,N/A
0130,036,ROBERT LEWIS MAGNET SCHOOL,Secondary GED,N/A
0130,036,ROBERT LEWIS MAGNET SCHOOL,Total Enrollment,123
0130,040,JOSEPH L FRAZIER ELEMENTARY,Pre-Kindergarten,N/A
0130,040,JOSEPH L FRAZIER ELEMENTARY,Special Education Pre-K,N/A
0130,040,JOSEPH L FRAZIER ELEMENTARY,Kindergarten,98
0130,040,JOSEPH L FRAZIER ELEMENTARY,Special Education Kindergarten,N/A
0130,040,JOSEPH L FRAZIER ELEMENTARY,Elementary Special Education,*
0130,040,JOSEPH L FRAZIER ELEMENTARY,Grade 1,95
0130,040,JOSEPH L FRAZIER ELEMENTARY,Grade 2,98
0130,040,JOSEPH L FRAZIER ELEMENTARY,Grade 3,104
0130,040,JOSEPH L FRAZIER ELEMENTARY,Grade 4,88
0130,040,JOSEPH L FRAZIER ELEMENTARY,Grade 5,72
0130,040,JOSEPH L FRAZIER ELEMENTARY,Grade 6,N/A
0130,040,JOSEPH L FRAZIER ELEMENTARY,Grade 7,N/A
0130,040,JOSEPH L FRAZIER ELEMENTARY,Grade 8,N/A
0130,040,JOSEPH L FRAZIER ELEMENTARY,Grade 9,N/A
