District Code,School Code,District Name,School Name,Subject,Number Tested,Mean Scale Score,% Passing
0000,000,Statewide Data,Statewide Data,ALGEBRA,"36,318",655,83
0000,000,Statewide Data,Statewide Data,BIOLOGY,"34,290",652,78
0000,000,Statewide Data,Statewide Data,ENGLISH,"31,910",651,72
0000,000,Statewide Data,Statewide Data,U.S. HISTORY,"28,902",649,80
0130,000,NATCHEZ-ADAMS SCHOOL DIST,Districtwide Data,ALGEBRA,429,646,53
0130,000,NATCHEZ-ADAMS SCHOOL DIST,Districtwide Data,BIOLOGY,471,642,45
0130,000,NATCHEZ-ADAMS SCHOOL DIST,Districtwide Data,ENGLISH,222,647,60
0130,000,NATCHEZ-ADAMS SCHOOL DIST,Districtwide Data,U.S. HISTORY,179,645,76
0130,028,NATCHEZ-ADAMS SCHOOL DIST,MORGANTOWN ARTS ACADEMY,ALGEBRA,121,650,72
0130,028,NATCHEZ-ADAMS SCHOOL DIST,MORGANTOWN ARTS ACADEMY,BIOLOGY,,,
0130,028,NATCHEZ-ADAMS SCHOOL DIST,MORGANTOWN ARTS ACADEMY,ENGLISH,,,
0130,028,NATCHEZ-ADAMS SCHOOL DIST,MORGANTOWN ARTS ACADEMY,U.S. HISTORY,,,
0130,044,NATCHEZ-ADAMS SCHOOL DIST,NATCHEZ HIGH SCHOOL,ALGEBRA,122,648,64
0130,044,NATCHEZ-ADAMS SCHOOL DIST,NATCHEZ HIGH SCHOOL,BIOLOGY,200,645,54
0130,044,NATCHEZ-ADAMS SCHOOL DIST,NATCHEZ HIGH SCHOOL,ENGLISH,222,647,60
0130,044,NATCHEZ-ADAMS SCHOOL DIST,NATCHEZ HIGH SCHOOL,U.S. HISTORY,179,645,76
0130,045,NATCHEZ-ADAMS SCHOOL DIST,NATCHEZ FRESHMAN ACADEMY,ALGEBRA,186,642,34
0130,045,NATCHEZ-ADAMS SCHOOL DIST,NATCHEZ FRESHMAN ACADEMY,BIOLOGY,271,641,39
0130,045,NATCHEZ-ADAMS SCHOOL DIST,NATCHEZ FRESHMAN ACADEMY,ENGLISH,,,
0130,045,NATCHEZ-ADAMS SCHOOL DIST,NATCHEZ FRESHMAN ACADEMY,U.S. HISTORY,,,
0200,000,ALCORN SCHOOL DIST,Districtwide Data,ALGEBRA,249,659,92
0200,000,ALCORN SCHOOL DIST,Districtwide Data,BIOLOGY,249,654,85
0200,000,ALCORN SCHOOL DIST,Districtwide Data,ENGLISH,276,653,80
0200,000,ALCORN SCHOOL DIST,Districtwide Data,U.S. HISTORY,223,649,83
0200,004,ALCORN SCHOOL DIST,BIGGERSVILLE HIGH SCHOOL,ALGEBRA,47,659,85
0200,004,ALCORN SCHOOL DIST,BIGGERSVILLE HIGH SCHOOL,BIOLOGY,49,653,84
0200,004,ALCORN SCHOOL DIST,BIGGERSVILLE HIGH SCHOOL,ENGLISH,42,648,62
0200,004,ALCORN SCHOOL DIST,BIGGERSVILLE HIGH SCHOOL,U.S. HISTORY,41,646,73
0200,008,ALCORN SCHOOL DIST,ALCORN CENTRAL HIGH SCHOOL,ALGEBRA,76,656,89
0200,008,ALCORN SCHOOL DIST,ALCORN CENTRAL HIGH SCHOOL,BIOLOGY,91,656,87
0200,008,ALCORN SCHOOL DIST,ALCORN CENTRAL HIGH SCHOOL,ENGLISH,121,651,78
0200,008,ALCORN SCHOOL DIST,ALCORN CENTRAL HIGH SCHOOL,U.S. HISTORY,78,650,85
0200,010,ALCORN SCHOOL DIST,ALCORN CENTRAL MIDDLE SCHOOL,ALGEBRA,18,668,100
0200,010,ALCORN SCHOOL DIST,ALCORN CENTRAL MIDDLE SCHOOL,BIOLOGY,,,
