DistrictName,StudentTeacherRatio
ABERDEEN SCHOOL DIST,13.55
ALCORN SCHOOL DIST,14.4
AMITE CO SCHOOL DIST,13.84
AMORY SCHOOL DIST,16.03
ATTALA CO SCHOOL DIST,13.56
BALDWYN SCHOOL DISTRICT,12.54
BAY ST LOUIS WAVELAND SCHOOL DIST,15.67
BENOIT SCHOOL DISTRICT,16.2
BENTON CO SCHOOL DIST,15
BILOXI PUBLIC SCHOOL DIST,14.61
BOONEVILLE SCHOOL DIST,14.23
BROOKHAVEN SCHOOL DIST,14.64
CALHOUN CO SCHOOL DIST,18.49
CANTON PUBLIC SCHOOL DIST,17
CARROLL COUNTY SCHOOL DIST,14.55
CHICKASAW CO SCHOOL DIST,15.6
CHOCTAW CO SCHOOL DIST,12.63
CLAIBORNE CO SCHOOL DIST,15.71
CLARKSDALE MUNICIPAL SCHOOL DIST,15.71
CLAY CO SCHOOL DIST,11.72
CLEVELAND SCHOOL DIST,16.53
CLINTON PUBLIC SCHOOL DIST,19.73
COAHOMA AHS,14.29
COAHOMA COUNTY SCHOOL DISTRICT,13.63
COFFEEVILLE SCHOOL DIST,13.91
COLUMBIA SCHOOL DISTRICT,16.91
COLUMBUS MUNICIPAL SCHOOL DIST,15.13
COPIAH CO SCHOOL DIST,17.5
CORINTH SCHOOL DIST,17.11
COVINGTON CO SCHOOLS,15.19
DESOTO CO SCHOOL DIST,17.96
DREW SCHOOL DIST,14.53
DURANT PUBLIC SCHOOL DIST,16.88
EAST JASPER CONSOLIDATED SCH DIST,15.2
EAST TALLAHATCHIE CONSOL SCH DIST,13.23
ENTERPRISE SCHOOL DIST,14.14
FOREST MUNICIPAL SCHOOL DIST,14.73
FORREST COUNTY AG HIGH SCHOOL,14.48
FORREST COUNTY SCHOOL DISTRICT,12.78
FRANKLIN CO SCHOOL DIST,14
GEORGE CO SCHOOL DIST,15.25
GREENE COUNTY SCHOOL DISTRICT,14.62
GREENVILLE PUBLIC SCHOOLS,16.52
GREENWOOD PUBLIC SCHOOL DISTRICT,15.41
GRENADA SCHOOL DIST,17.96
GULFPORT SCHOOL DIST,15.1
HANCOCK CO SCHOOL DIST,15.89
HARRISON CO SCHOOL DIST,16.77
HATTIESBURG PUBLIC SCHOOL DIST,13.39
HAZLEHURST CITY SCHOOL DISTRICT,15.21
HINDS CO AHS,10.63
HINDS CO SCHOOL DIST,15.48
HOLLANDALE SCHOOL DIST,12.79
HOLLY SPRINGS SCHOOL DIST,15.09
HOLMES CO SCHOOL DIST,15.75
HOUSTON  SCHOOL DIST,13.79
HUMPHREYS CO SCHOOL DIST,17.23
INDIANOLA SCHOOL DIST,15.53
ITAWAMBA CO SCHOOL DIST,14.87
JACKSON CO SCHOOL DIST,15.43
JACKSON PUBLIC SCHOOL DIST,16.02
JEFFERSON CO SCHOOL DIST,13.62
JEFFERSON DAVIS CO SCHOOL DIST,14.22
JONES CO SCHOOL DIST,16.25
KEMPER CO SCHOOL DIST,14.62
KOSCIUSKO SCHOOL DISTRICT,16.83
LAFAYETTE CO SCHOOL DIST,14.98
LAMAR COUNTY SCHOOL DISTRICT,15.72
LAUDERDALE CO SCHOOL DIST,15.65
LAUREL SCHOOL DISTRICT,13.6
LAWRENCE CO SCHOOL DIST,13.16
LEAKE CO SCHOOL DIST,15.46
LEE COUNTY SCHOOL DISTRICT,15.21
LEFLORE CO SCHOOL DIST,14.94
LELAND SCHOOL DIST,14.58
LINCOLN CO SCHOOL DIST,15.94
