Agency Name,EXPPP,CEXPPP,IEXPPP
"ABERDEEN SCHOOL DIST, MS",9431,9084,5027
"ALCORN SCHOOL DIST, MS",8651,7491,4740
"AMITE CO SCHOOL DIST, MS",11105,10047,5664
"AMORY SCHOOL DIST, MS",8895,8053,4412
"ATTALA CO SCHOOL DIST, MS",9171,8839,5265
"BALDWYN SCHOOL DISTRICT, MS",9376,8162,4569
"BAY ST LOUIS WAVELAND SCHOOL DIST, MS",12104,10829,5577
"BENOIT SCHOOL DISTRICT, MS",13799,12926,5588
"BENTON CO SCHOOL DIST, MS",8370,7979,4354
"BILOXI PUBLIC SCHOOL DIST, MS",11356,9919,5307
"BOONEVILLE SCHOOL DIST, MS",8781,7902,4982
"BROOKHAVEN SCHOOL DIST, MS",8805,8331,4650
"CALHOUN CO SCHOOL DIST, MS",7393,7129,4030
"CANTON PUBLIC SCHOOL DIST, MS",8640,7864,4089
"CARROLL COUNTY SCHOOL DIST, MS",9272,8706,4896
"CHICKASAW CO SCHOOL DIST, MS",7209,6813,4166
"CHOCTAW CO SCHOOL DIST, MS",9903,9244,5514
"CLAIBORNE CO SCHOOL DIST, MS",9839,9356,5328
"CLARKSDALE MUNICIPAL SCHOOL DIST, MS",9720,8271,4246
"CLAY CO SCHOOL DIST, MS",13046,12682,5590
"CLEVELAND SCHOOL DIST, MS",9390,8808,4823
"CLINTON PUBLIC SCHOOL DIST, MS",8297,7381,4236
"COAHOMA AHS, MS",10354,10110,6463
"COAHOMA COUNTY SCHOOL DISTRICT, MS",10903,10324,5093
"COFFEEVILLE SCHOOL DIST, MS",10525,9742,5170
"COLUMBIA SCHOOL DISTRICT, MS",9514,7881,4294
"COLUMBUS MUNICIPAL SCHOOL DIST, MS",11642,9453,5444
"COPIAH CO SCHOOL DIST, MS",7490,7085,3811
"CORINTH SCHOOL DIST, MS",9724,7135,4640
"COVINGTON CO SCHOOLS, MS",9264,8954,4772
"DESOTO CO SCHOOL DIST, MS",6547,6003,3525
"DREW SCHOOL DIST, MS",8843,8502,4157
"DURANT PUBLIC SCHOOL DIST, MS",8234,7954,4405
"EAST JASPER CONSOLIDATED SCH DIST, MS",15857,9643,4601
"EAST TALLAHATCHIE CONSOL SCH DIST, MS",8690,8502,4973
"ELLISVILLE STATE SCHOOL ADM, MS",?,?,?
"ENTERPRISE SCHOOL DIST, MS",7894,6770,4416
"FOREST MUNICIPAL SCHOOL DIST, MS",8636,8031,4282
"FORREST COUNTY AG HIGH SCHOOL, MS",8317,8036,5184
"FORREST COUNTY SCHOOL DISTRICT, MS",9138,8786,4586
"FRANKLIN CO SCHOOL DIST, MS",9243,8837,5285
"GEORGE CO SCHOOL DIST, MS",6803,6391,4007
"GREENE COUNTY SCHOOL DISTRICT, MS",8134,7870,4453
"GREENVILLE PUBLIC SCHOOLS, MS",7699,7081,3963
"GREENWOOD PUBLIC SCHOOL DISTRICT, MS",8995,8443,4596
"GRENADA SCHOOL DIST, MS",7431,6926,4110
"GULFPORT SCHOOL DIST, MS",9414,8640,4751
"HANCOCK CO SCHOOL DIST, MS",7677,7270,4216
"HARRISON CO SCHOOL DIST, MS",7695,7129,4324
"HATTIESBURG PUBLIC SCHOOL DIST, MS",11033,10076,5466
"HAZLEHURST CITY SCHOOL DISTRICT, MS",10591,8596,3997
"HINDS CO AHS, MS",14317,14039,12628
"HINDS CO SCHOOL DIST, MS",7862,7325,3820
"HOLLANDALE SCHOOL DIST, MS",14455,11109,6222
"HOLLY SPRINGS SCHOOL DIST, MS",9964,9083,4924
"HOLMES CO SCHOOL DIST, MS",9064,8656,4214
"HOUSTON  SCHOOL DIST, MS",7867,7354,4509
"HUDSPETH CENTER ADMINISTRATION, MS",?,?,?
"HUMPHREYS CO SCHOOL DIST, MS",8759,8428,3800
"INDIANOLA SCHOOL DIST, MS",8262,7690,4006
"ITAWAMBA CO SCHOOL DIST, MS",7261,6800,4257
"JACKSON CO SCHOOL DIST, MS",8257,7540,4284
"JACKSON PUBLIC SCHOOL DIST, MS",10513,8616,4822
"JEFFERSON CO SCHOOL DIST, MS",9304,8762,4750
"JEFFERSON DAVIS CO SCHOOL DIST, MS",11360,9794,4883
"JONES CO SCHOOL DIST, MS",7649,7173,4580
"KEMPER CO SCHOOL DIST, MS",9047,8293,4612
"KOSCIUSKO SCHOOL DISTRICT, MS",7358,6842,4003
"LAFAYETTE CO SCHOOL DIST, MS",8107,7805,4828
"LAMAR COUNTY SCHOOL DISTRICT, MS",7943,7277,4429
"LAUDERDALE CO SCHOOL DIST, MS",7722,7366,4597
"LAUREL SCHOOL DISTRICT, MS",10622,8657,5125
"LAWRENCE CO SCHOOL DIST, MS",11023,8648,5054
"LEAKE CO SCHOOL DIST, MS",7460,7069,3872
"LEE COUNTY SCHOOL DISTRICT, MS",8430,7669,4614
"LEFLORE CO SCHOOL DIST, MS",10352,9460,4995
"LELAND SCHOOL DIST, MS",10682,10332,5240
"LINCOLN CO SCHOOL DIST, MS",6984,6337,3894
"LONG BEACH SCHOOL DIST, MS",9042,8721,4905
"LOUISVILLE MUNICIPAL SCHOOL DIST, MS",9140,8592,4929
"LOWNDES CO SCHOOL DIST, MS",9189,8298,4722
"LUMBERTON PUBLIC SCHOOL DISTRICT, MS",9561,8974,5334
"MADISON CO SCHOOL DIST, MS",10982,7171,4255
"MAGNOLIA GROVE SCHOOL, MS",?,?,?
"MARION CO SCHOOL DIST, MS",9120,8333,4707
"MARSHALL CO SCHOOL DIST, MS",8164,6807,3963
"MCCOMB SCHOOL DISTRICT, MS",8843,8489,4486
"MDHS DIVISION OF YOUTH SERVICES, MS",?,?,?
"MERIDIAN PUBLIC SCHOOL DIST, MS",9055,8689,5259
"MISSISSIPPI STATE HOSPITAL, MS",?,?,?
"MONROE CO SCHOOL DIST, MS",9031,7789,4817
"MONTGOMERY CO SCHOOL DIST, MS",13854,13371,7747
"MOSS POINT SEPARATE SCHOOL DIST, MS",12071,11336,5833
"MOUND BAYOU PUBLIC SCHOOL, MS",9703,8988,4990
"MS DEPT OF HUMAN SERVICES, MS",?,?,?
"MS SCH FOR MATH AND SC, MS",?,?,?
"MS SCH FOR THE BLIND, MS",?,?,?
"MS SCHOOL FOR THE ARTS, MS",?,?,?
"MS SCHOOL FOR THE DEAF, MS",?,?,?
"NATCHEZ-ADAMS SCHOOL DIST, MS",10316,9716,5430
"NESHOBA COUNTY SCHOOL DISTRICT, MS",7717,6747,4355
"NETTLETON SCHOOL DIST, MS",8305,7490,4638
"NEW ALBANY PUBLIC SCHOOLS, MS",7939,7626,4690
"NEWTON COUNTY SCHOOL DISTRICT, MS",7799,7465,4501
"NEWTON MUNICIPAL SCHOOL DISTRICT, MS",8943,8689,4620
"NORTH BOLIVAR SCHOOL DISTRICT, MS",10322,9804,5345
"NORTH PANOLA SCHOOL DISTRICT, MS",10538,9673,5430
"NORTH PIKE SCHOOL DIST, MS",6759,6323,3815
"NORTH TIPPAH SCHOOL DIST, MS",7424,7302,4476
"NOXUBEE COUNTY SCHOOL DISTRICT, MS",9683,9139,5022
"OCEAN SPRINGS SCHOOL DIST, MS",11226,7814,4695
"OKOLONA SEPARATE SCHOOL DIST, MS",10626,9733,5340
"OKTIBBEHA COUNTY SCHOOL DISTRICT, MS",11293,10799,5754
"OXFORD SCHOOL DISTRICT, MS",10864,8942,5575
"PASCAGOULA SCHOOL DIST, MS",11719,10988,5886
"PASS CHRISTIAN PUBLIC SCHOOL DIST, MS",15098,11428,5880
"PEARL PUBLIC SCHOOL DIST, MS",7705,7281,4378
"PEARL RIVER CO SCHOOL DIST, MS",7264,7033,4201
"PERRY CO SCHOOL DIST, MS",8919,8614,5066
"PETAL SCHOOL DIST, MS",8184,7646,4371
"PHILADELPHIA PUBLIC SCHOOL DIST, MS",8126,7693,4346
"PICAYUNE SCHOOL DIST, MS",11169,9271,5106
"PONTOTOC CITY SCHOOLS, MS",8684,7267,4780
"PONTOTOC CO SCHOOL DIST, MS",7580,6688,4298
"POPLARVILLE SEPARATE SCHOOL DIST, MS",9114,7845,4389
"PRENTISS CO SCHOOL DIST, MS",8133,7884,5058
"QUITMAN CO SCHOOL DIST, MS",8639,8343,4590
"QUITMAN SCHOOL DIST, MS",8788,8254,4434
"RANKIN CO SCHOOL DIST, MS",7499,7042,4224
"RICHTON SCHOOL DIST, MS",7562,6848,4305
"ROGER AMOS MCMURTRY ADM, MS",?,?,?
"SCOTT CO SCHOOL DIST, MS",7090,6785,4142
"SENATOBIA MUNICIPAL SCHOOL DIST, MS",7350,7023,4281
"SHAW SCHOOL DISTRICT, MS",11120,10732,5634
"SIMPSON CO SCHOOL DIST, MS",8732,7774,4586
"SMITH CO SCHOOL DIST, MS",8252,7314,4501
"SOUTH DELTA SCHOOL DISTRICT, MS",11198,9999,5240
"SOUTH MS REGIONAL CENTER, MS",?,?,?
"SOUTH PANOLA SCHOOL DISTRICT, MS",7954,7731,4835
"SOUTH PIKE SCHOOL DIST, MS",9574,8403,4597
"SOUTH TIPPAH SCHOOL DIST, MS",7904,7294,4562
"STARKVILLE SCHOOL DISTRICT, MS",10691,8856,5012
