State Postal Code,State FIPS Code,District ID,Name,TotalPop,Pop5to17,NumInPoverty,PovertyPct
MS,28,360,Aberdeen School District,9574,1648,635,0.39
MS,28,390,Alcorn School District,22455,4147,1033,0.25
MS,28,420,Amite County School District,12957,2021,785,0.39
MS,28,450,Amory School District,9619,1687,538,0.32
MS,28,510,Attala County School District,7817,1354,499,0.37
MS,28,540,Baldwyn School District,5492,996,351,0.35
MS,28,570,Bay St. Louis School District,15215,2580,879,0.34
MS,28,690,Benoit School District,1363,275,143,0.52
MS,28,600,Benton County School District,8730,1560,558,0.36
MS,28,630,Biloxi Public School District,39633,5716,2061,0.36
MS,28,820,Booneville School District,6198,899,313,0.35
MS,28,840,Brookhaven School District,18640,3359,1114,0.33
MS,28,870,Calhoun County School District,14843,2645,712,0.27
MS,28,900,Canton Public School District,21808,4207,1594,0.38
MS,28,930,Carroll County School District,10423,1607,432,0.27
MS,28,960,Chickasaw County School District,2620,470,145,0.31
MS,28,990,Choctaw County School District,8346,1454,467,0.32
MS,28,1020,Claiborne County School District,9349,1565,779,0.5
MS,28,1050,Clarksdale Municipal School District,17658,3678,2015,0.55
MS,28,1080,Clay County School District,2517,439,162,0.37
MS,28,750,Cleveland School District,19155,3277,1331,0.41
MS,28,1090,Clinton Public School District,29513,5209,1194,0.23
MS,28,1110,Coahoma County School District,8051,1501,654,0.44
MS,28,1140,Coffeeville School District,5617,899,287,0.32
MS,28,1170,Columbia School District,10599,1775,697,0.39
MS,28,1200,Columbus Municipal School District,32843,5470,2303,0.42
MS,28,1220,Copiah County School District,18061,3144,1122,0.36
MS,28,1260,Corinth School District,14709,2415,942,0.39
MS,28,1290,Covington County School District,19607,3641,1256,0.34
MS,28,1320,DeSoto County School District,166234,34578,5008,0.14
MS,28,1350,Drew School District,7165,707,399,0.56
MS,28,1360,Durant Public School District,2617,529,292,0.55
MS,28,1380,East Jasper School District,6698,1106,399,0.36
MS,28,1410,East Tallahatchie School District,8138,1460,624,0.43
MS,28,1440,Enterprise School District,3925,773,181,0.23
MS,28,1470,Forest Municipal School District,8479,1622,524,0.32
MS,28,1490,Forrest County Schools,19916,3682,1333,0.36
MS,28,1530,Franklin County School District,7918,1492,424,0.28
MS,28,1560,George County School District,22930,4365,1135,0.26
MS,28,1590,Greene County School District,14311,2225,525,0.24
MS,28,1620,Greenville Public School District,30711,6403,3610,0.56
MS,28,1650,Greenwood Public School District,15536,3064,1533,0.5
MS,28,1680,Grenada School District,21682,3870,1275,0.33
MS,28,1710,Gulfport School District,38195,6130,2332,0.38
MS,28,1740,Hancock County School District,29582,5340,1421,0.27
MS,28,1770,Harrison County School District,89233,16369,4629,0.28
MS,28,1800,Hattiesburg Public School District,39494,5204,2288,0.44
MS,28,1830,Hazlehurst City School District,10894,1961,996,0.51
MS,28,1860,Hinds County School District,47469,8406,1877,0.22
MS,28,1890,Hollandale School District,3650,688,378,0.55
MS,28,1950,Holly Springs School District,11903,1901,844,0.44
MS,28,1980,Holmes County School District,16179,3220,1747,0.54
MS,28,2010,Houston School District,9922,1840,595,0.32
MS,28,2040,Humphreys County School District,9189,1802,1018,0.56
MS,28,2070,Indianola School District,11091,2125,1116,0.53
MS,28,2100,Itawamba County School District,23340,3904,947,0.24
MS,28,2160,Jackson County School District,49876,9609,1731,0.18
MS,28,2190,Jackson Public School District,171661,32433,14029,0.43
MS,28,2220,Jefferson County School District,7638,1277,585,0.46
MS,28,2250,Jefferson Davis County School District,12032,1923,817,0.42
MS,28,2280,Jones County School District,50343,8950,2746,0.31
MS,28,2310,Kemper County School District,10335,1715,591,0.34
MS,28,2340,Kosciusko School District,11340,2222,758,0.34
MS,28,2370,Lafayette County School District,15610,2762,530,0.19
MS,28,2400,Lamar County School District,51549,9797,2025,0.21
MS,28,2430,Lauderdale County School District,39093,6654,1647,0.25
MS,28,2460,Laurel School District,18298,3555,1532,0.43
MS,28,2490,Lawrence County School District,12551,2200,655,0.3
MS,28,2520,Leake County School District,23297,5205,1747,0.34
MS,28,2550,Lee County School District,38655,7481,2200,0.29
MS,28,2580,Leflore County School District,15412,3034,1608,0.53
MS,28,2610,Leland School District,5843,1036,571,0.55
MS,28,2640,Lincoln County School District,16260,3134,666,0.21
MS,28,2670,Long Beach School District,16513,3069,837,0.27
MS,28,2700,Louisville Municipal School District,19029,3340,1286,0.39
MS,28,2730,Lowndes County School District,26827,5143,1219,0.24
MS,28,2760,Lumberton Public School District,5483,971,354,0.36
MS,28,2790,Madison County School District,76660,14879,1840,0.12
MS,28,2820,Marion County School District,15843,2982,1072,0.36
MS,28,2850,Marshall County School District,24709,4148,1378,0.33
