Agency Name,AmericanIndian,Asian,Hispanic,Black,White,Pacific,2orMore,TotalStudents
"ABERDEEN SCHOOL DIST, MS",0,5,5,1393,41,0,7,1451
"ALCORN SCHOOL DIST, MS",4,5,39,126,3341,0,22,3537
"AMITE CO SCHOOL DIST, MS",2,0,9,880,161,0,10,1062
"AMORY SCHOOL DIST, MS",2,5,14,651,1180,1,6,1859
"ATTALA CO SCHOOL DIST, MS",0,1,2,684,472,0,5,1164
"BALDWYN SCHOOL DISTRICT, MS",0,1,7,419,417,0,7,851
"BAY ST LOUIS WAVELAND SCHOOL DIST, MS",2,26,36,428,1418,0,48,1958
"BENOIT SCHOOL DISTRICT, MS",0,0,7,271,8,0,1,287
"BENTON CO SCHOOL DIST, MS",2,6,33,618,581,1,10,1251
"BILOXI PUBLIC SCHOOL DIST, MS",9,261,382,1891,2553,18,3,5117
"BOONEVILLE SCHOOL DIST, MS",1,10,27,275,946,0,25,1284
"BROOKHAVEN SCHOOL DIST, MS",1,18,12,1787,1081,0,1,2900
"CALHOUN CO SCHOOL DIST, MS",0,1,262,864,1377,1,28,2533
"CANTON PUBLIC SCHOOL DIST, MS",0,8,116,3273,18,1,4,3420
"CARROLL COUNTY SCHOOL DIST, MS",0,0,10,636,331,0,9,986
"CHICKASAW CO SCHOOL DIST, MS",0,0,23,220,328,0,7,578
"CHOCTAW CO SCHOOL DIST, MS",3,3,10,515,982,2,12,1527
"CLAIBORNE CO SCHOOL DIST, MS",0,0,1,1726,9,0,0,1736
"CLARKSDALE MUNICIPAL SCHOOL DIST, MS",0,15,9,3260,57,2,7,3350
"CLAY CO SCHOOL DIST, MS",0,0,1,142,17,0,1,161
"CLEVELAND SCHOOL DIST, MS",4,32,91,2408,1069,0,13,3617
"CLINTON PUBLIC SCHOOL DIST, MS",11,205,100,2365,1941,0,2,4624
"COAHOMA AHS, MS",0,0,0,259,0,0,0,259
"COAHOMA COUNTY SCHOOL DISTRICT, MS",0,0,35,1294,101,0,3,1433
