"","Enrolled100s","CompositeScore","PovertyPct","GradRate","StudentTeacherRatio","Algebra","Biology","History","English"
"1",13.8,651,39,69.5,13.55,651,645,644,645
"4",17.76,661,32,81,16.03,661,659,653,653
"6",8.22,657.5,35,59,12.54,658,651,647,649
"7",19.54,657,34,92.5,15.67,657,654,650,653
"8",2.54,653,52,94,16.2,653,647,645,648
"10",55.37,656,36,79.5,14.61,656,660,652,653
"11",12.91,661,35,81.5,14.23,661,662,655,656
"12",29.85,654,33,68.5,14.64,654,655,646,650
"14",33.88,653,38,80,17,653,647,643,644
"19",38.21,655,41,65.5,16.53,655,653,648,652
"20",49.03,659,23,84.5,19.73,659,654,652,655
"23",6.01,650,32,62.5,13.91,650,646,648,651
"24",45.16,653,42,61.5,15.13,653,649,645,646
"28",5.54,655.5,55,74.5,16.88,654,650,645,648
"29",9.58,652,36,72,15.2,652,642,642,648
"30",12.34,650,43,70.5,13.23,650,652,646,648
"31",10.09,664,23,93,14.14,664,654,652,654
"32",16.16,656,32,61,14.73,656,650,647,649
"40",58.55,652,56,48.5,16.52,652,642,645,646
"41",29.16,650,50,71.5,15.41,650,648,645,644
"42",43.1,654,33,71.5,17.96,654,651,649,652
"45",45.52,649,44,68,13.39,651,647,644,646
"46",15.61,649,51,66,15.21,649,645,646,645
"47",1.63,649,22,80,10.63,649,638,639,643
"48",62.64,655,22,82,15.48,654,650,648,649
"49",6.4,657,55,85.5,12.79,657,649,646,645
"50",14.46,657.5,44,80,15.09,657,651,647,649
"52",18.38,659,32,67,13.79,659,653,650,650
"54",21.86,652,53,60.5,15.53,652,646,642,644
"65",26.83,661,19,76,14.98,661,659,650,655
"67",30.82,654,43,54,13.6,654,646,644,646
"72",9.26,650,55,62,14.58,650,641,643,646
"74",31.18,660,27,87,15.97,660,657,654,655
"75",28.92,653,39,68,13.54,653,649,646,648
"77",6.36,656,36,71,12.1,656,658,653,650
"81",27.67,656,40,66.5,15.33,656,651,646,649
"82",61.66,654,47,62.5,14.65,654,651,649,647
"85",22.73,651,33,65,12.45,651,649,643,645
"86",5.88,649,45,57.5,16.15,649,656,643,648
"87",36.63,646,41,62.5,13.72,646,642,645,647
"89",13.5,655,30,70,13.77,655,651,648,650
"90",21.88,655,26,79.5,15.25,655,651,647,648
"92",9.78,652,32,68.5,13.04,652,643,647,645
"93",6.55,651,45,60,13.3,651,650,646,646
"94",15.76,656,48,72,14.65,656,649,648,648
"95",24.29,655,30,76,16.37,655,656,649,652
"96",13.51,654,30,77.5,15.43,654,658,647,651
"98",57.58,660,16,83.5,14.65,660,659,654,657
"99",6.88,650,35,57,13.5,650,646,642,643
"101",40.09,660,25,87.5,15.4,660,657,653,653
"104",40.69,657.5,24,79,16.02,656,658,652,655
"107",40.35,665,22,81,15.1,665,657,656,656
"108",12.24,650,46,79,14.36,650,648,642,651
"109",36.26,653,39,70.5,15.6,653,652,648,650
"112",35.59,658,22,86,14.6,658,657,651,654
"114",19.3,657,33,84.5,14.78,657,660,651,651
"117",20.27,658,33,72.5,14.54,658,658,648,650
"119",7.3,647,33,81.5,13.39,647,647,650,648
"121",17.98,658,22,71.5,15.68,658,652,653,654
"122",4.93,648,51,90.5,12.13,648,651,651,649
"125",9.22,651,55,77.5,15.73,651,650,645,646
"127",18.03,659,44,86.5,15.48,659,652,647,648
"128",28.77,656,27,79,15.14,656,655,649,652
"129",42.81,654,38,75,15.68,654,651,648,652
"133",32.06,657,26,85.5,14.54,657,657,650,655
"137",10.47,662,28,84.5,16.45,662,659,649,653
"140",12.16,652,33,59,15.06,652,649,648,649
"143",7.63,654,50,74,14.99,654,649,641,650
"145",14.71,656,30,70,14.71,656,651,644,649
"146",32.35,654,37,74.5,17.02,654,650,645,647
"147",7.82,656,44,56,12.36,656,652,641,647
"149",11.57,657,41,83,15.46,657,653,650,653
"150",24.89,648,54,59,18.14,648,646,641,645
