"","Enrolled100s","CompositeScore","EA10","PovertyPct","GradRate","StudentTeacherRatio","AorE","Algebra","Biology","History","English"
"1",13.8,651,0,39,69.5,13.55,"Appointed",651,645,644,645
"2",34.14,659,1,25,75.5,14.4,"Elected",659,654,649,653
"3",10.64,655,1,39,59,13.84,"Elected",655,650,645,650
"4",17.76,661,0,32,81,16.03,"Appointed",661,659,653,653
"5",11.31,652,1,37,69,13.56,"Elected",652,651,648,651
"6",8.22,657.5,0,35,59,12.54,"Appointed",658,651,647,649
"7",19.54,657,0,34,92.5,15.67,"Appointed",657,654,650,653
"8",2.54,653,0,52,94,16.2,"Appointed",653,647,645,648
"9",12.34,659,1,36,65.5,15,"Elected",659,654,649,650
"10",55.37,656,0,36,79.5,14.61,"Appointed",656,660,652,653
"11",12.91,661,0,35,81.5,14.23,"Appointed",661,662,655,656
"12",29.85,654,0,33,68.5,14.64,"Appointed",654,655,646,650
"13",25.82,652,1,27,74,18.49,"Elected",652,651,647,652
"14",33.88,653,0,38,80,17,"Appointed",653,647,643,644
"15",10.15,658,1,27,72,14.55,"Elected",658,651,646,651
"16",5.15,654,1,31,71,15.6,"Elected",654,654,644,649
"17",14.25,655,1,32,72,12.63,"Elected",655,653,647,650
"18",16.19,653,1,50,85,15.71,"Elected",653,642,644,643
"19",38.21,655,0,41,65.5,16.53,"Appointed",655,653,648,652
"20",49.03,659,0,23,84.5,19.73,"Appointed",659,654,652,655
"21",2.44,648,1,44,72,13.63,"Elected",648,645,638,641
"22",2.44,648,1,44,51.5,13.63,"Elected",648,645,638,641
"23",6.01,650,0,32,62.5,13.91,"Appointed",650,646,648,651
"24",45.16,653,0,42,61.5,15.13,"Appointed",653,649,645,646
"25",27.97,655,1,36,72,17.5,"Elected",655,649,647,648
"26",29.57,655.5,1,34,70,15.19,"Elected",657,650,645,648
"28",5.54,655.5,0,55,74.5,16.88,"Appointed",654,650,645,648
"29",9.58,652,0,36,72,15.2,"Appointed",652,642,642,648
"30",12.34,650,0,43,70.5,13.23,"Appointed",650,652,646,648
"31",10.09,664,0,23,93,14.14,"Appointed",664,654,652,654
"32",16.16,656,0,32,61,14.73,"Appointed",656,650,647,649
"34",24.17,658,1,36,69,14.48,"Elected",658,659,652,654
"36",5.88,653,1,36,60,14.48,"Elected",653,655,651,651
"37",14.51,653,1,28,88.5,14,"Elected",653,653,646,653
"38",41.26,653,1,26,68.5,15.25,"Elected",653,653,648,650
"39",21.09,658,1,24,90.5,14.62,"Elected",658,656,646,653
"40",58.55,652,0,56,48.5,16.52,"Appointed",652,642,645,646
"41",29.16,650,0,50,71.5,15.41,"Appointed",650,648,645,644
"42",43.1,654,0,33,71.5,17.96,"Appointed",654,651,649,652
"43",45.44,661,1,27,83.5,15.89,"Elected",661,659,653,656
"44",141.68,656,1,28,76,16.77,"Elected",656,656,651,653
"45",45.52,649,0,44,68,13.39,"Appointed",651,647,644,646
"46",15.61,649,0,51,66,15.21,"Appointed",649,645,646,645
"47",1.63,649,0,22,80,10.63,"Appointed",649,638,639,643
"48",62.64,655,0,22,82,15.48,"Appointed",654,650,648,649
"49",6.4,657,0,55,85.5,12.79,"Appointed",657,649,646,645
"50",14.46,657.5,0,44,80,15.09,"Appointed",657,651,647,649
"51",29.74,652,1,54,68.5,15.75,"Elected",652,648,647,648
"52",18.38,659,0,32,67,13.79,"Appointed",659,653,650,650
"53",17.59,652,1,56,76,17.23,"Elected",652,650,647,644
"54",21.86,652,0,53,60.5,15.53,"Appointed",652,646,642,644
"55",35.29,660,1,24,76,14.87,"Elected",662,656,650,652
"56",94.11,659,1,18,76.5,15.43,"Elected",659,658,650,653
"58",13.25,655,1,46,78,13.62,"Elected",655,647,642,647
"60",15.69,655,1,42,70,13.62,"Elected",655,647,645,645
"62",85.62,656,1,31,79.5,16.25,"Elected",656,653,651,651
"63",11.61,650,1,34,72,14.62,"Elected",650,645,642,646
"64",23.4,656,1,34,79,16.83,"Elected",656,657,653,652
"65",26.83,661,0,19,76,14.98,"Appointed",661,659,650,655
"66",67.87,658,1,25,73,15.65,"Elected",658,655,648,654
"67",30.82,654,0,43,54,13.6,"Appointed",654,646,644,646
"68",21.99,656.5,1,30,70,13.16,"Elected",658,651,650,650
"69",29.48,651,1,34,72.5,15.46,"Elected",651,650,646,648
"70",72.36,655.5,1,29,66.5,15.21,"Elected",656,653,648,651
"71",27.21,652,1,53,63,14.94,"Elected",652,647,643,647
"72",9.26,650,0,55,62,14.58,"Appointed",650,641,643,646
"73",31.42,655.5,1,21,76.5,15.94,"Elected",655,653,648,651
"74",31.18,660,0,27,87,15.97,"Appointed",660,657,654,655
"75",28.92,653,0,39,68,13.54,"Appointed",653,649,646,648
"76",50.96,654,1,24,74,14.32,"Elected",654,651,650,652
"77",6.36,656,0,36,71,12.1,"Appointed",656,658,653,650
"78",125.48,657.5,1,12,84,15.97,"Elected",659,658,652,655
"79",21.45,655,1,36,75.5,14.26,"Elected",656,650,648,649
"80",34.45,654,1,33,77,16.39,"Elected",654,652,646,649
"81",27.67,656,0,40,66.5,15.33,"Appointed",656,651,646,649
"82",61.66,654,0,47,62.5,14.65,"Appointed",654,651,649,647
"83",23,655,1,21,81.5,14.6,"Elected",654,654,649,652
"84",3.1,650,1,32,64.5,10.82,"Elected",650,644,644,649
"85",22.73,651,0,33,65,12.45,"Appointed",651,649,643,645
"86",5.88,649,0,45,57.5,16.15,"Appointed",649,656,643,648
"87",36.63,646,0,41,62.5,13.72,"Appointed",646,642,645,647
"88",33.35,655,1,28,87,17.49,"Elected",656,654,649,652
"89",13.5,655,0,30,70,13.77,"Appointed",655,651,648,650
"90",21.88,655,0,26,79.5,15.25,"Appointed",655,651,647,648
"91",18.59,652,1,30,85,13.68,"Elected",652,648,648,651
"92",9.78,652,0,32,68.5,13.04,"Appointed",652,643,647,645
"93",6.55,651,0,45,60,13.3,"Appointed",651,650,646,646
"94",15.76,656,0,48,72,14.65,"Appointed",656,649,648,648
"95",24.29,655,0,30,76,16.37,"Appointed",655,656,649,652
"96",13.51,654,0,30,77.5,15.43,"Appointed",654,658,647,651
"97",18.05,649,1,45,71,14.54,"Elected",647,647,644,646
"98",57.58,660,0,16,83.5,14.65,"Appointed",660,659,654,657
"99",6.88,650,0,35,57,13.5,"Appointed",650,646,642,643
"100",8.56,652,1,42,61,12.48,"Elected",650,647,644,644
"101",40.09,660,0,25,87.5,15.4,"Appointed",660,657,653,653
"103",19.63,665,1,20,89,13.15,"Elected",665,653,654,654
"104",40.69,657.5,0,24,79,16.02,"Appointed",656,658,652,655
"105",30.63,657,1,31,77,16.21,"Elected",657,655,650,652
"106",11.89,652,1,34,73.5,13.7,"Elected",652,649,646,650
"107",40.35,665,0,22,81,15.1,"Appointed",665,657,656,656
